Drug,qc_dipole,qc_homo_lumo,qc_electrons,qc_energy,mask_dipole,mask_homo_lumo,mask_electrons,mask_energy
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,0.0,0.0,0.0,0.0,0,0,0,0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,0.0,0.0,0.0,0.0,0,0,0,0
COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,0.0,0.0,0.0,0.0,0,0,0,0
NC(N)=NCCN1CCCCCCC1,0.0,0.0,0.0,0.0,0,0,0,0
CNC1(c2ccccc2Cl)CCCCC1=O,0.0,0.0,0.0,0.0,0,0,0,0
COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,0.0,0.0,0.0,0.0,0,0,0,0
CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,0.0,0.0,0.0,0.0,0,0,0,0
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.0,0.0,0.0,0.0,0,0,0,0
C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,0.0,0.0,0.0,0.0,0,0,0,0
CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,0.0,0.0,0.0,0.0,0,0,0,0
CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,0.0,0.0,0.0,0.0,0,0,0,0
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.0,0.0,0.0,0.0,0,0,0,0
CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,0.0,0.0,0.0,0.0,0,0,0,0
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,0.0,0.0,0.0,0.0,0,0,0,0
Clc1ccc2nsnc2c1NC1=NCCN1,0.0,0.0,0.0,0.0,0,0,0,0
CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,0.0,0.0,0.0,0.0,0,0,0,0
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.0,0.0,0.0,0.0,0,0,0,0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.0,0.0,0.0,0.0,0,0,0,0
CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N/O)cc1)C1CCCCC1,0.0,0.0,0.0,0.0,0,0,0,0
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,0.0,0.0,0.0,0.0,0,0,0,0
CN1CCN2c3ccccc3Cc3ccccc3C2C1,0.0,0.0,0.0,0.0,0,0,0,0
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,0.0,0.0,0.0,0.0,0,0,0,0
NNc1nncc2ccccc12,0.0,0.0,0.0,0.0,0,0,0,0
CC[N+](C)(C)Cc1ccccc1Br,0.0,0.0,0.0,0.0,0,0,0,0
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,0.0,0.0,0.0,0.0,0,0,0,0
