smiles,dipole,homo_lumo,electrons,energy,mask_1,mask_2,mask_3,mask_4
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,3.017,9.779,94.0,-163.53549,1,1,1,1
CC(C)NCC(O)COc1cccc2ccccc12,2.827,8.113,102.0,-63.70419,1,1,1,1
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,4.444,9.271,116.0,-60.03554,1,1,1,1
CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,4.877,9.657,104.0,-268.26033,1,1,1,1
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,6.518,8.213000000000001,158.0,-196.68523,1,1,1,1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,2.957,9.779,126.0,-115.71727,1,1,1,1
O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,5.427,7.507000000000001,132.0,-70.73831,1,1,1,1
OC[C@@H]1O[C@@](O)(CO)[C@H](O)[C@H]1O,2.419,11.807,72.0,-274.80864,1,1,1,1
CC(C)(S)[C@@H](N)C(=O)O,3.167,8.65,54.0,-102.44891,1,1,1,1
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,6.632,8.295,112.0,-74.23699,1,1,1,1
CC(C)NC[C@H](O)COc1ccc(O)cc1,3.091,8.536,90.0,-120.77496,1,1,1,1
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,5.277,7.8740000000000006,132.0,3.4796,1,1,1,1
COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl,2.74,8.155999999999999,90.0,-84.24441,1,1,1,1
CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,1.743,7.339,126.0,0.7809,1,1,1,1
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,3.392,7.547,142.0,-82.53121,1,1,1,1
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,9.242,7.492,160.0,-134.82706,1,1,1,1
CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1,5.637,8.065000000000001,94.0,-48.25692,1,1,1,1
C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,2.463,8.539,132.0,-60.27441,1,1,1,1
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,2.014,7.802,116.0,38.69153,1,1,1,1
CN(C)CCCN1c2ccccc2CCc2ccccc21,2.123,8.341,110.0,44.64165,1,1,1,1
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,5.304,8.117,80.0,-1.11513,1,1,1,1
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,5.783,8.072,128.0,-106.25067,1,1,1,1
CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,5.047,7.797000000000001,138.0,-42.30462,1,1,1,1
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,4.697,8.119000000000002,142.0,-34.07611,1,1,1,1
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,1.958,8.613,98.0,-75.07775,1,1,1,1
NS(=O)(=O)c1cc(-c2nn[nH]n2)c(NCc2cccs2)cc1Cl,6.552,7.988999999999999,120.0,40.00922,1,1,1,1
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,4.674,8.681000000000001,110.0,-88.2415,1,1,1,1
CN(C)C(=N)NC(=N)N,3.458,9.767,52.0,38.9609,1,1,1,1
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,1.952,8.272,138.0,-90.45111,1,1,1,1
CN1CCN2c3ncccc3Cc3ccccc3C2C1,1.549,8.297,102.0,66.46974,1,1,1,1
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,8.336,8.44,126.0,-82.79528,1,1,1,1
NCCCC(N)(C(=O)O)C(F)F,3.964,10.245,72.0,-195.69726,1,1,1,1
CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,2.758,10.055,144.0,-159.84484,1,1,1,1
O=C(O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O,7.233,8.923,152.0,-178.13912,1,1,1,1
CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,3.133,8.549,118.0,-149.88526,1,1,1,1
COCCc1ccc(OCC(O)CNC(C)C)cc1,3.855,9.027000000000001,108.0,-125.15987,1,1,1,1
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1,2.768,8.465,122.0,-181.56,1,1,1,1
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,6.54,8.509,114.0,100.76107,1,1,1,1
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCC/N=C/N)C[C@H]12,4.795,7.813000000000001,110.0,-113.83296,1,1,1,1
CC(C)(C)NCC(O)c1ccccc1Cl,3.638,8.360999999999999,84.0,-55.51885,1,1,1,1
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,8.3,7.559,114.0,83.13214,1,1,1,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,1.918,10.248000000000001,124.0,1.61257,1,1,1,1
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,1.12,8.24,126.0,-103.5618,1,1,1,1
CCCN(CCC)CCc1cccc2c1CC(=O)N2,3.914,8.768,104.0,-48.20887,1,1,1,1
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,1.69,8.123000000000001,98.0,-68.68719,1,1,1,1
COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,9.485,7.856,146.0,-114.6999,1,1,1,1
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,3.419,8.328,98.0,-63.24689,1,1,1,1
CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,2.857,7.914,136.0,-27.67559,1,1,1,1
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,3.508,8.692,186.0,-144.51028,1,1,1,1
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3,2.571,9.896,120.0,-174.21165,1,1,1,1
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,2.994,8.372,118.0,26.46983,1,1,1,1
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,5.187,8.759,118.0,-159.94677,1,1,1,1
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,8.415,8.507000000000001,128.0,-201.2565,1,1,1,1
CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,1.324,8.869000000000002,116.0,-444.95774,1,1,1,1
Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,4.251,8.64,140.0,-142.71966,1,1,1,1
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,6.196,8.465,122.0,-127.38193,1,1,1,1
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,2.655,8.844,118.0,-146.69371,1,1,1,1
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.243,7.437,110.0,39.1022,1,1,1,1
CNCCCCOc1ccccc1Cc1ccccc1,2.598,8.969,106.0,-14.13884,1,1,1,1
Oc1ncnc2[nH]ncc12,2.174,8.913,50.0,39.80079,1,1,1,1
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,2.849,8.782,98.0,-73.89325,1,1,1,1
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,6.732,8.282,112.0,-47.9752,1,1,1,1
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,3.769,9.293999999999999,170.0,-348.3295,1,1,1,1
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,8.839,8.637,140.0,-164.96749,1,1,1,1
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,2.704,8.501,104.0,-73.45703,1,1,1,1
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,3.799,8.857,164.0,-49.60912,1,1,1,1
CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,18.555,,,-83.94131,1,0,0,1
c1ccc([C@H]2CN3CCSC3=N2)cc1,4.568,8.309999999999999,72.0,59.31482,1,1,1,1
CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,6.949,7.162,174.0,-85.31284,1,1,1,1
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,3.933,8.487,134.0,-206.72786,1,1,1,1
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,5.432,7.952,96.0,109.07523,1,1,1,1
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,2.322,7.342999999999999,114.0,80.21989,1,1,1,1
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,2.993,7.4,142.0,-45.16616,1,1,1,1
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,10.622,8.279,112.0,23.78248,1,1,1,1
NC(=O)N1c2ccccc2C=Cc2ccccc21,3.769,8.08,88.0,26.67678,1,1,1,1
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.129,8.047,138.0,-102.94627,1,1,1,1
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,4.636,9.026,168.0,-50.67965,1,1,1,1
CN1[C@H]2CCC[C@@H]1C[C@H](NC(=O)c1nn(C)c3ccccc13)C2,5.243,8.112,122.0,16.24452,1,1,1,1
COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,2.206,8.32,138.0,-102.73404,1,1,1,1
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,2.217,7.769000000000001,154.0,-172.752,1,1,1,1
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1c[nH]c3ccccc13)C2,5.18,8.497,110.0,-44.57817,1,1,1,1
NCC(CC(=O)O)c1ccc(Cl)cc1,2.994,9.301,76.0,-85.50827,1,1,1,1
CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,6.539,7.251,160.0,-83.49844,1,1,1,1
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,1.454,8.911,102.0,-93.86289,1,1,1,1
CNCCC=C1c2ccccc2CCc2ccccc21,2.126,8.895000000000001,102.0,45.25081,1,1,1,1
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,3.989,7.907,128.0,-100.28761,1,1,1,1
CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,8.343,8.018,116.0,-74.88132,1,1,1,1
CC1=CC[C@@H](C(C)(C)O)C[C@@H]1O,2.873,10.530999999999999,70.0,-116.90895,1,1,1,1
COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,4.588,8.679,122.0,-148.39066,1,1,1,1
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,4.968,8.98,178.0,-35.18493,1,1,1,1
NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,6.012,7.547,138.0,-105.45826,1,1,1,1
CN/C(=N/C#N)NCCSCc1nc[nH]c1C,4.187,8.496,92.0,60.95937,1,1,1,1
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,8.142,8.001,126.0,-96.87559,1,1,1,1
COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,6.204,7.959,124.0,-5.14914,1,1,1,1
CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,3.486,8.343,134.0,-17.1266,1,1,1,1
Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,3.517,8.551,108.0,-157.11413,1,1,1,1
CC[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,2.038,,,-103.12031,1,0,0,1
NC(=O)NO,3.394,10.784,30.0,-60.81917,1,1,1,1
COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,4.005,8.373999999999999,132.0,-43.39545,1,1,1,1
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,7.786,8.385,112.0,-163.22783,1,1,1,1
C[N+]1(CC2CC2)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,15.836,,,-56.57846,1,0,0,1
CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,4.301,8.927,148.0,-41.06893,1,1,1,1
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,2.531,8.551,88.0,-46.46469,1,1,1,1
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,6.167,9.135,114.0,-115.94457,1,1,1,1
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,1.637,8.299999999999999,104.0,25.96267,1,1,1,1
CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,7.524,7.9719999999999995,152.0,-153.24961,1,1,1,1
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,0.738,8.773,114.0,-120.36589,1,1,1,1
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,2.871,8.842,142.0,-80.51626,1,1,1,1
O=C1NS(=O)(=O)c2ccccc21,4.356,9.460999999999999,62.0,-84.92852,1,1,1,1
CC(=O)Nc1ccc(O)cc1,4.878,8.511,58.0,-70.9056,1,1,1,1
COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,6.754,8.657,108.0,-113.34545,1,1,1,1
CS(=O)(=O)OCCCCOS(C)(=O)=O,4.9,11.621,86.0,-269.98735,1,1,1,1
O=P1(N(CCCl)CCCl)NCCCO1,3.825,9.198,84.0,-156.45022,1,1,1,1
OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,5.261,8.372,156.0,-232.58927,1,1,1,1
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,9.577,7.595000000000001,112.0,-42.44174,1,1,1,1
CCCc1cc(=O)[nH]c(=S)[nH]1,6.052,7.9239999999999995,60.0,-34.03639,1,1,1,1
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,2.363,7.724,104.0,-112.48096,1,1,1,1
CC[C@@H](CO)NCCN[C@@H](CC)CO,2.028,11.533,86.0,-116.61317,1,1,1,1
OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,3.745,7.596000000000001,160.0,-142.43374,1,1,1,1
N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,2.279,8.600999999999999,106.0,-97.05058,1,1,1,1
Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,3.883,9.104,86.0,-145.67915,1,1,1,1
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,3.369,8.202,214.0,-225.32362,1,1,1,1
c1ccc(C2(N3CCCCC3)CCCCC2)cc1,1.634,8.887,98.0,5.19411,1,1,1,1
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,4.483,8.891,96.0,-89.08925,1,1,1,1
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,6.181,8.177,82.0,-94.13068,1,1,1,1
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,7.113,7.770999999999999,142.0,-316.40692,1,1,1,1
CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,1.007,8.908,112.0,14.78665,1,1,1,1
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,1.425,8.13,116.0,-20.39832,1,1,1,1
C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,5.533,8.683,210.0,-358.03762,1,1,1,1
COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC,3.972,7.583,170.0,-194.82463,1,1,1,1
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,12.679,8.175,162.0,-206.01097,1,1,1,1
CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,5.147,8.221,112.0,-29.95164,1,1,1,1
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,4.475,8.393,150.0,-219.1198,1,1,1,1
N[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn([C@@H]4C[C@@H]4F)c3c2Cl)CC12CC2.N[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn([C@@H]4C[C@@H]4F)c3c2Cl)CC12CC2.O.O.O,,,,,0,0,0,0
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,5.101,9.148000000000001,82.0,-108.88555,1,1,1,1
NC12CC3CC(CC(C3)C1)C2,1.707,12.644,62.0,-25.17285,1,1,1,1
Oc1c(Cl)cc(Cl)c2cccnc12,3.686,7.743,66.0,-12.09419,1,1,1,1
c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,2.826,9.162,100.0,87.6206,1,1,1,1
Cc1cccc(C)c1OCC(C)N,1.926,9.247,72.0,-39.42245,1,1,1,1
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,3.7,8.305,124.0,-129.50241,1,1,1,1
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,2.39,8.359,110.0,53.00682,1,1,1,1
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,6.047,7.707000000000001,158.0,-55.77338,1,1,1,1
CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,1.974,9.717,126.0,-150.46617,1,1,1,1
Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,3.868,8.254999999999999,100.0,-31.42886,1,1,1,1
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,3.064,9.145,100.0,-4.22084,1,1,1,1
Cc1cnc(C(=O)O)c[n+]1[O-],1.907,8.444,58.0,-55.03255,1,1,1,1
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,8.575,8.222,178.0,-252.84192,1,1,1,1
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,4.115,7.671,144.0,28.72623,1,1,1,1
COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,2.087,8.312000000000001,136.0,-126.7569,1,1,1,1
